filename,date,year,month,title,word_count,category,is_repost
2017-11-22_我是阿信——初次见面，以后的你我来关照.txt,2017-11-22,2017,11,我是——初次见面，以后的你我来关照,866,公益项目,False
2018-02-06_阿信说｜政府掏钱给你办事，你真的了解吗？.txt,2018-02-06,2018,2,｜政府掏钱给你办事，你真的了解吗？,1682,评估方法,False
2018-02-23_「转」转载｜评估？！借我借我一双慧眼吧.txt,2018-02-23,2018,2,「转」转载｜评估？！借我借我一双慧眼吧,1718,评估方法,True
2018-02-23_阿信说｜另一种花钱法儿，影响力投资.txt,2018-02-23,2018,2,｜另一种花钱法儿，影响力投资,1907,评估方法,False
2018-03-06_阿信策话｜重要政府购买政策一览.txt,2018-03-06,2018,3,｜重要政府购买政策一览,368,政策动态,False
2018-03-06_阿信说｜以变应万变，评估里的“战斗机”——发展性评估来了.txt,2018-03-06,2018,3,｜以变应万变，评估里的“战斗机”——发展性评估来了,1517,评估方法,False
2018-03-14_“重程序 轻结果”？全国政购投诉举报案件翻2倍.txt,2018-03-14,2018,3,“重程序 轻结果”？全国政购投诉举报案件翻2倍,1319,政策动态,False
2018-03-14_「转」转载｜如何确定项目预期成果？试试5W1H法.txt,2018-03-14,2018,3,「转」转载｜如何确定项目预期成果？试试5W1H法,1884,评估方法,True
2018-03-14_阿信说丨影响力投资者必备指南：IRIS影响力报告和投资标准的使用.txt,2018-03-14,2018,3,丨影响力投资者必备指南：IRIS影响力报告和投资标准的使用,2196,政策动态,False
2018-03-21_阿信策话｜2017年287个市级社会组织评估结果公告出炉.txt,2018-03-21,2018,3,｜2017年287个市级社会组织评估结果公告出炉,1101,政策动态,False
2018-03-21_生活方式新指南 他们推荐你去这里参加靠谱的公益活动.txt,2018-03-21,2018,3,生活方式新指南 他们推荐你去这里参加靠谱的公益活动,1724,评估方法,False
2018-03-21_转载｜田野调研，到底是一种什么体验？.txt,2018-03-21,2018,3,转载｜田野调研，到底是一种什么体验？,2935,评估方法,True
2018-03-28_干货丨3步学会政购服务项目的预算编制.txt,2018-03-28,2018,3,干货丨3步学会政购服务项目的预算编制,177,政策动态,False
2018-03-28_政府采购法修订的立法研究将列入日程.txt,2018-03-28,2018,3,政府采购法修订的立法研究将列入日程,1349,政策动态,False
2018-03-28_转载丨社区草根组织资助怎么做.txt,2018-03-28,2018,3,转载丨社区草根组织资助怎么做,497,公益项目,True
2018-04-04_荐书丨管理的核心是人，项目是人与人的故事.txt,2018-04-04,2018,4,荐书丨管理的核心是人，项目是人与人的故事,1848,公益项目,False
2018-04-04_「转」转载丨从摄影的角度探索改善自闭症群体的社交体验.txt,2018-04-04,2018,4,「转」转载丨从摄影的角度探索改善自闭症群体的社交体验,4642,公益项目,True
2018-04-04_师夷长技 快速看评估发展历史.txt,2018-04-04,2018,4,师夷长技 快速看评估发展历史,1208,评估方法,False
2018-04-04_河南政府采购管理不断创新.txt,2018-04-04,2018,4,河南政府采购管理不断创新,1106,政策动态,False
2018-04-11_尽职调查，如何才“尽职”？.txt,2018-04-11,2018,4,尽职调查，如何才“尽职”？,2132,评估方法,False
2018-04-11_民政部办公厅关于做好志愿服务组织身份标识工作的通知.txt,2018-04-11,2018,4,民政部办公厅关于做好志愿服务组织身份标识工作的通知,1063,政策动态,False
2018-04-11_「转」转载｜他们用了5种方法去解决农村学生的营养问题，发现最有效的居然是…….txt,2018-04-11,2018,4,「转」转载｜他们用了5种方法去解决农村学生的营养问题，发现最有效的居然是……,8457,评估方法,True
2018-04-11_尽职调查起源小野史.txt,2018-04-11,2018,4,尽职调查起源小野史,1426,转载,False
2018-04-18_世界读书日丨评估人都看什么专业书？.txt,2018-04-18,2018,4,世界读书日丨评估人都看什么专业书？,2771,评估方法,False
2018-04-18_助残服务如火如荼，了解我国政府购买助残服务.txt,2018-04-18,2018,4,助残服务如火如荼，了解我国政府购买助残服务,1953,评估方法,False
2018-04-18_北京市第十批认定慈善组织名单发布.txt,2018-04-18,2018,4,北京市第十批认定慈善组织名单发布,1266,评估方法,False
2018-04-18_转载｜了解这18个超前的概念，你也可以开始“为善意而设计“（下）.txt,2018-04-18,2018,4,转载｜了解这18个超前的概念，你也可以开始“为善意而设计“（下）,5555,ESG/可持续,True
2018-04-26_多元化、精品化、专业化 第三方评估如何应对政购助残服务的发展趋势？.txt,2018-04-26,2018,4,多元化、精品化、专业化 第三方评估如何应对政购助残服务的发展趋势？,2766,政策动态,False
2018-04-26_第二批慈善组织互联网募捐信息平台筛选结构公示.txt,2018-04-26,2018,4,第二批慈善组织互联网募捐信息平台筛选结构公示,1405,政策动态,False
2018-04-26_转载｜社会服务项目的评估与检测101.txt,2018-04-26,2018,4,转载｜社会服务项目的评估与检测101,3119,评估方法,True
2018-05-04_干货丨益生信×红基会 乡村医生培训计划项目评估报告精华速览.txt,2018-05-04,2018,5,干货丨×红基会 乡村医生培训计划项目评估报告精华速览,1776,评估方法,False
2018-05-04_共创、共享、共治  首个“公益行业评估支持平台”发布.txt,2018-05-04,2018,5,共创、共享、共治  首个“公益行业评估支持平台”发布,1144,评估方法,False
2018-05-04_87家中央部门政采预算“集中亮相”.txt,2018-05-04,2018,5,87家中央部门政采预算“集中亮相”,1151,政策动态,False
2018-05-04_「转」汶川10年了，还有哪些我们不知道我们不知道的？｜ 严肃科个普.txt,2018-05-04,2018,5,「转」汶川10年了，还有哪些我们不知道我们不知道的？｜ 严肃科个普,2046,转载,True
2018-05-11_「转」回望汶川十年：中国地震救援能力还有什么短板？ ｜ 今日话题.txt,2018-05-11,2018,5,「转」回望汶川十年：中国地震救援能力还有什么短板？ ｜ 今日话题,2480,转载,True
2018-05-11_北京将启动养老服务质量检查.txt,2018-05-11,2018,5,北京将启动养老服务质量检查,1468,政策动态,False
2018-05-11_后来的他们丨十年前汶川地震中的项目生长记.txt,2018-05-11,2018,5,后来的他们丨十年前汶川地震中的项目生长记,859,评估方法,False
2018-05-11_汶川重建项目思考：当评估完毕，项目就结束了吗？.txt,2018-05-11,2018,5,汶川重建项目思考：当评估完毕，项目就结束了吗？,1558,政策动态,False
2018-05-19_「转」双重歧视围困下的残障女性.txt,2018-05-19,2018,5,「转」双重歧视围困下的残障女性,2637,转载,True
2018-05-19_助残日：从残障人士的角度出发，什么是最好的帮助？.txt,2018-05-19,2018,5,助残日：从残障人士的角度出发，什么是最好的帮助？,1774,评估方法,False
2018-05-19_民政局发布关于在社会组织章程增加有关内容的通知.txt,2018-05-19,2018,5,民政局发布关于在社会组织章程增加有关内容的通知,1926,政策动态,False
2018-05-31_实习就得带劲儿丨公益评估、公益传播招聘.txt,2018-05-31,2018,5,实习就得带劲儿丨公益评估、公益传播招聘,1657,评估方法,False
2018-05-31_「转」转载丨从关注产品原材料开始以求精准扶贫或可持续发展.txt,2018-05-31,2018,5,「转」转载丨从关注产品原材料开始以求精准扶贫或可持续发展,2511,评估方法,True
2018-05-31_习近平主席宣布我国将加快加入《政府采购协定》进程.txt,2018-05-31,2018,5,习近平主席宣布我国将加快加入《政府采购协定》进程,3166,政策动态,False
2018-06-07_答对了吗？我们给评估人出了几道考试题.txt,2018-06-07,2018,6,答对了吗？我们给评估人出了几道考试题,860,评估方法,False
2018-06-07_「转」转载丨医务社工：用钱解决不了的问题？我来！.txt,2018-06-07,2018,6,「转」转载丨医务社工：用钱解决不了的问题？我来！,5298,ESG/可持续,True
2018-06-07_发改委明确对中标结果公示异议的处理.txt,2018-06-07,2018,6,发改委明确对中标结果公示异议的处理,1482,政策动态,False
2018-06-12_只为初心，我们选择免费开放公益项目「自评估」测试.txt,2018-06-12,2018,6,只为初心，我们选择免费开放公益项目「自评估」测试,1059,评估方法,False
2018-06-21_如果给公益评估行业选一位足球明星作代言人.txt,2018-06-21,2018,6,如果给公益评估行业选一位足球明星作代言人,294,评估方法,False
2018-06-21_财政部启动2018年全国政府采购代理机构监督检查工作.txt,2018-06-21,2018,6,财政部启动2018年全国政府采购代理机构监督检查工作,1507,政策动态,False
